Vulnerability ID,Summary Text,Base Score,Exploitability Score,Impact Score,CWE ID,Bugzilla Links
CVE-2014-1555,"Use-after-free vulnerability in the nsDocLoader::OnProgress function in Mozilla Firefox before 31.0, Firefox ESR 24.x before 24.7, and Thunderbird before 24.7 allows remote attackers to execute arbitrary code via vectors that trigger a FireOnStateChange event.",9.3,8.6,10.0,N/A,https://bugzilla.mozilla.org/show_bug.cgi?id=1023121
CVE-2016-2832,Mozilla Firefox before 47.0 allows remote attackers to discover the list of disabled plugins via a fingerprinting attack involving Cascading Style Sheets (CSS) pseudo-classes.,"4.3
4.3","8.6
2.8","2.9
1.4",CWE-200 Exposure of Sensitive Information to an Unauthorized Actor,https://bugzilla.mozilla.org/show_bug.cgi?id=1025267
CVE-2014-1559,"Mozilla Firefox before 31.0 and Thunderbird before 31.0 allow remote attackers to cause a denial of service (X.509 certificate parsing outage) via a crafted certificate that does not use UTF-8 character encoding in a required context, a different vulnerability than CVE-2014-1558.",4.3,8.6,2.9,N/A,https://bugzilla.mozilla.org/show_bug.cgi?id=1026022
CVE-2014-1556,"Mozilla Firefox before 31.0, Firefox ESR 24.x before 24.7, and Thunderbird before 24.7 allow remote attackers to execute arbitrary code via crafted WebGL content constructed with the Cesium JavaScript library.",9.3,8.6,10.0,CWE-94 Improper Control of Generation of Code ('Code Injection'),https://bugzilla.mozilla.org/show_bug.cgi?id=1028891
CVE-2015-0828,"Double free vulnerability in the nsXMLHttpRequest::GetResponse function in Mozilla Firefox before 36.0, when a nonstandard memory allocator is used, allows remote attackers to execute arbitrary code or cause a denial of service (heap memory corruption) via crafted JavaScript code that makes an XMLHttpRequest call with zero bytes of data.",6.8,8.6,6.4,N/A,"https://bugzilla.mozilla.org/show_bug.cgi?id=1030667
https://bugzilla.mozilla.org/show_bug.cgi?id=988675"
CVE-2014-1567,"Use-after-free vulnerability in DirectionalityUtils.cpp in Mozilla Firefox before 32.0, Firefox ESR 24.x before 24.8 and 31.x before 31.1, and Thunderbird 24.x before 24.8 and 31.x before 31.1 allows remote attackers to execute arbitrary code via text that is improperly handled during the interaction between directionality resolution and layout.",9.3,8.6,10.0,N/A,https://bugzilla.mozilla.org/show_bug.cgi?id=1037641
CVE-2014-1576,"Heap-based buffer overflow in the nsTransformedTextRun function in Mozilla Firefox before 33.0, Firefox ESR 31.x before 31.2, and Thunderbird 31.x before 31.2 allows remote attackers to execute arbitrary code via Cascading Style Sheets (CSS) token sequences that trigger changes to capitalization style.",7.5,10.0,6.4,CWE-119 Improper Restriction of Operations within the Bounds of a Memory Buffer,https://bugzilla.mozilla.org/show_bug.cgi?id=1041512
CVE-2015-4498,The add-on installation feature in Mozilla Firefox before 40.0.3 and Firefox ESR 38.x before 38.2.1 allows remote attackers to bypass an intended user-confirmation requirement by constructing a crafted data: URL and triggering navigation to an arbitrary http: or https: URL at a certain early point in the installation process.,7.5,10.0,6.4,CWE-254,https://bugzilla.mozilla.org/show_bug.cgi?id=1042699
CVE-2014-1564,"Mozilla Firefox before 32.0, Firefox ESR 31.x before 31.1, and Thunderbird 31.x before 31.1 do not properly initialize memory for GIF rendering, which allows remote attackers to obtain sensitive information from process memory via crafted web script that interacts with a CANVAS element associated with a malformed GIF image.",4.3,8.6,2.9,CWE-824 Access of Uninitialized Pointer,https://bugzilla.mozilla.org/show_bug.cgi?id=1045977
CVE-2015-4515,"Mozilla Firefox before 42.0, when NTLM v1 is enabled for HTTP authentication, allows remote attackers to obtain sensitive hostname information by constructing a crafted web site that sends an NTLM request and reads the Workstation field of an NTLM type 3 message.",4.3,8.6,2.9,CWE-200 Exposure of Sensitive Information to an Unauthorized Actor,https://bugzilla.mozilla.org/show_bug.cgi?id=1046421
CVE-2014-1565,"The mozilla::dom::AudioEventTimeline function in the Web Audio API implementation in Mozilla Firefox before 32.0, Firefox ESR 31.x before 31.1, and Thunderbird 31.x before 31.1 does not properly create audio timelines, which allows remote attackers to obtain sensitive information from process memory or cause a denial of service (out-of-bounds read) via crafted API calls.",5.0,10.0,2.9,CWE-119 Improper Restriction of Operations within the Bounds of a Memory Buffer,https://bugzilla.mozilla.org/show_bug.cgi?id=1047831
CVE-2014-1582,"The Public Key Pinning (PKP) implementation in Mozilla Firefox before 33.0 does not properly consider the connection-coalescing behavior of SPDY and HTTP/2 in the case of a shared IP address, which allows man-in-the-middle attackers to bypass an intended pinning configuration and spoof a web site by providing a valid certificate from an arbitrary recognized Certification Authority.",4.3,8.6,2.9,CWE-310,https://bugzilla.mozilla.org/show_bug.cgi?id=1049095
CVE-2014-8632,"The structured-clone implementation in Mozilla Firefox before 34.0 and SeaMonkey before 2.31 does not properly interact with XrayWrapper property filtering, which allows remote attackers to bypass intended DOM object restrictions by leveraging property availability after XrayWrapper removal.",4.3,8.6,2.9,CWE-284 Improper Access Control,https://bugzilla.mozilla.org/show_bug.cgi?id=1050340
CVE-2014-1566,"Mozilla Firefox before 31.1 on Android does not properly restrict copying of local files onto the SD card during processing of file: URLs, which allows attackers to obtain sensitive information from the Firefox profile directory via a crafted application.  NOTE: this vulnerability exists because of an incomplete fix for CVE-2014-1515.",4.3,8.6,2.9,CWE-264,https://bugzilla.mozilla.org/show_bug.cgi?id=1050690
CVE-2014-1562,"Unspecified vulnerability in the browser engine in Mozilla Firefox before 32.0, Firefox ESR 24.x before 24.8 and 31.x before 31.1, and Thunderbird 24.x before 24.8 and 31.x before 31.1 allows remote attackers to cause a denial of service (memory corruption and application crash) or possibly execute arbitrary code via unknown vectors.",10.0,10.0,10.0,CWE-119 Improper Restriction of Operations within the Bounds of a Memory Buffer,https://bugzilla.mozilla.org/show_bug.cgi?id=1054359
CVE-2014-1585,"The WebRTC video-sharing feature in dom/media/MediaManager.cpp in Mozilla Firefox before 33.0, Firefox ESR 31.x before 31.2, and Thunderbird 31.x before 31.2 does not properly recognize Stop Sharing actions for videos in IFRAME elements, which allows remote attackers to obtain sensitive information from the local camera by maintaining a session after the user tries to discontinue streaming.",5.0,10.0,2.9,N/A,https://bugzilla.mozilla.org/show_bug.cgi?id=1062876
CVE-2014-1586,"content/base/src/nsDocument.cpp in Mozilla Firefox before 33.0, Firefox ESR 31.x before 31.2, and Thunderbird 31.x before 31.2 does not consider whether WebRTC video sharing is occurring, which allows remote attackers to obtain sensitive information from the local camera in certain IFRAME situations by maintaining a session after the user temporarily navigates away.",5.0,10.0,2.9,N/A,https://bugzilla.mozilla.org/show_bug.cgi?id=1062981
CVE-2014-1580,"Mozilla Firefox before 33.0 does not properly initialize memory for GIF images, which allows remote attackers to obtain sensitive information from process memory via a crafted web page that triggers a sequence of rendering operations for truncated GIF data within a CANVAS element.",5.0,10.0,2.9,CWE-200 Exposure of Sensitive Information to an Unauthorized Actor,https://bugzilla.mozilla.org/show_bug.cgi?id=1063733
CVE-2015-0832,"Mozilla Firefox before 36.0 does not properly recognize the equivalence of domain names with and without a trailing . (dot) character, which allows man-in-the-middle attackers to bypass the HPKP and HSTS protection mechanisms by constructing a URL with this character and leveraging access to an X.509 certificate for a domain with this character.",5.0,10.0,2.9,CWE-254,https://bugzilla.mozilla.org/show_bug.cgi?id=1065909
CVE-2014-1584,"The Public Key Pinning (PKP) implementation in Mozilla Firefox before 33.0 skips pinning checks upon an unspecified issuer-verification error, which makes it easier for remote attackers to bypass an intended pinning configuration and spoof a web site via a crafted certificate that leads to presentation of the Untrusted Connection dialog to the user.",4.3,8.6,2.9,CWE-310,https://bugzilla.mozilla.org/show_bug.cgi?id=1066190
CVE-2014-1581,"Use-after-free vulnerability in DirectionalityUtils.cpp in Mozilla Firefox before 33.0, Firefox ESR 31.x before 31.2, and Thunderbird 31.x before 31.2 allows remote attackers to execute arbitrary code via text that is improperly handled during the interaction between directionality resolution and layout.",7.5,10.0,6.4,N/A,https://bugzilla.mozilla.org/show_bug.cgi?id=1068218
CVE-2014-1591,"Mozilla Firefox 33.0 and SeaMonkey before 2.31 include path strings in CSP violation reports, which allows remote attackers to obtain sensitive information via a web site that receives a report after a redirect.",4.3,8.6,2.9,CWE-199,https://bugzilla.mozilla.org/show_bug.cgi?id=1069762
CVE-2017-7788,"When an ""iframe"" has a ""sandbox"" attribute and its content is specified using ""srcdoc"", that content does not inherit the containing page's Content Security Policy (CSP) as it should unless the sandbox attribute included ""allow-same-origin"". This vulnerability affects Firefox < 55.","7.5
9.8","10.0
3.9","6.4
5.9",CWE-74 Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),https://bugzilla.mozilla.org/show_bug.cgi?id=1073952
CVE-2014-1594,"Mozilla Firefox before 34.0, Firefox ESR 31.x before 31.3, Thunderbird before 31.3, and SeaMonkey before 2.31 might allow remote attackers to execute arbitrary code by leveraging an incorrect cast from the BasicThebesLayer data type to the BasicContainerLayer data type.",6.8,8.6,6.4,CWE-20 Improper Input Validation,https://bugzilla.mozilla.org/show_bug.cgi?id=1074280
CVE-2017-7789,"If a server sends two Strict-Transport-Security (STS) headers for a single connection, they will be rejected as invalid and HTTP Strict Transport Security (HSTS) will not be enabled for the connection. This vulnerability affects Firefox < 55.","5.0
5.3","10.0
3.9","2.9
1.4",N/A,https://bugzilla.mozilla.org/show_bug.cgi?id=1074642
CVE-2015-0819,"The UITour::onPageEvent function in Mozilla Firefox before 36.0 does not ensure that an API call originates from a foreground tab, which allows remote attackers to conduct spoofing and clickjacking attacks by leveraging access to a UI Tour web site.",4.3,8.6,2.9,CWE-19,https://bugzilla.mozilla.org/show_bug.cgi?id=1079554
CVE-2014-8642,"Mozilla Firefox before 35.0 and SeaMonkey before 2.32 do not consider the id-pkix-ocsp-nocheck extension in deciding whether to trust an OCSP responder, which makes it easier for remote attackers to obtain sensitive information by sniffing the network during a session in which there was an incorrect decision to accept a compromised and revoked certificate.",4.3,8.6,2.9,CWE-310,https://bugzilla.mozilla.org/show_bug.cgi?id=1079658
CVE-2014-8638,"The navigator.sendBeacon implementation in Mozilla Firefox before 35.0, Firefox ESR 31.x before 31.4, Thunderbird before 31.4, and SeaMonkey before 2.32 omits the CORS Origin header, which allows remote attackers to bypass intended CORS access-control checks and conduct cross-site request forgery (CSRF) attacks via a crafted web site.",6.8,8.6,6.4,CWE-352 Cross-Site Request Forgery (CSRF),https://bugzilla.mozilla.org/show_bug.cgi?id=1080987
CVE-2015-0797,"GStreamer before 1.4.5, as used in Mozilla Firefox before 38.0, Firefox ESR 31.x before 31.7, and Thunderbird before 31.7 on Linux, allows remote attackers to cause a denial of service (buffer over-read and application crash) or possibly execute arbitrary code via crafted H.264 video data in an m4v file.",6.8,8.6,6.4,N/A,https://bugzilla.mozilla.org/show_bug.cgi?id=1080995
CVE-2014-1593,"Stack-based buffer overflow in the mozilla::FileBlockCache::Read function in Mozilla Firefox before 34.0, Firefox ESR 31.x before 31.3, Thunderbird before 31.3, and SeaMonkey before 2.31 allows remote attackers to execute arbitrary code via crafted media content.",6.8,8.6,6.4,CWE-119 Improper Restriction of Operations within the Bounds of a Memory Buffer,https://bugzilla.mozilla.org/show_bug.cgi?id=1085175
CVE-2015-4490,"The nsCSPHostSrc::permits function in dom/security/nsCSPUtils.cpp in Mozilla Firefox before 40.0 does not implement the Content Security Policy Level 2 exceptions for the blob, data, and filesystem URL schemes during wildcard source-expression matching, which might make it easier for remote attackers to conduct cross-site scripting (XSS) attacks by leveraging unexpected policy-enforcement behavior.",4.3,8.6,2.9,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://bugzilla.mozilla.org/show_bug.cgi?id=1086999
CVE-2011-3079,"The Inter-process Communication (IPC) implementation in Google Chrome before 18.0.1025.168, as used in Mozilla Firefox before 38.0 and other products, does not properly validate messages, which has unspecified impact and attack vectors.",10.0,10.0,10.0,CWE-399,https://bugzilla.mozilla.org/show_bug.cgi?id=1087565
CVE-2014-1590,"The XMLHttpRequest.prototype.send method in Mozilla Firefox before 34.0, Firefox ESR 31.x before 31.3, Thunderbird before 31.3, and SeaMonkey before 2.31 allows remote attackers to cause a denial of service (application crash) via a crafted JavaScript object.",4.3,8.6,2.9,CWE-20 Improper Input Validation,https://bugzilla.mozilla.org/show_bug.cgi?id=1087633
CVE-2014-1592,"Use-after-free vulnerability in the nsHtml5TreeOperation function in xul.dll in Mozilla Firefox before 34.0, Firefox ESR 31.x before 31.3, Thunderbird before 31.3, and SeaMonkey before 2.31 allows remote attackers to execute arbitrary code by adding a second root element to an HTML5 document during parsing.",6.8,8.6,6.4,N/A,https://bugzilla.mozilla.org/show_bug.cgi?id=1088635
CVE-2015-0826,The nsTransformedTextRun::SetCapitalization function in Mozilla Firefox before 36.0 allows remote attackers to execute arbitrary code or cause a denial of service (out-of-bounds read of heap memory) via a crafted Cascading Style Sheets (CSS) token sequence that triggers a restyle or reflow operation.,6.8,8.6,6.4,CWE-119 Improper Restriction of Operations within the Bounds of a Memory Buffer,https://bugzilla.mozilla.org/show_bug.cgi?id=1092363
CVE-2015-0825,Stack-based buffer underflow in the mozilla::MP3FrameParser::ParseBuffer function in Mozilla Firefox before 36.0 allows remote attackers to obtain sensitive information from process memory via a malformed MP3 file that improperly interacts with memory allocation during playback.,4.3,8.6,2.9,CWE-119 Improper Restriction of Operations within the Bounds of a Memory Buffer,https://bugzilla.mozilla.org/show_bug.cgi?id=1092370
CVE-2014-1595,"Mozilla Firefox before 34.0, Firefox ESR 31.x before 31.3, and Thunderbird before 31.3 on Apple OS X 10.10 omit a CoreGraphics disable-logging action that is needed by jemalloc-based applications, which allows local users to obtain sensitive information by reading /tmp files, as demonstrated by credential information.",2.1,3.9,2.9,CWE-199,https://bugzilla.mozilla.org/show_bug.cgi?id=1092855
CVE-2015-0824,"The mozilla::layers::BufferTextureClient::AllocateForSurface function in Mozilla Firefox before 36.0 allows remote attackers to cause a denial of service (out-of-bounds write of zero values, and application crash) via vectors that trigger use of DrawTarget and the Cairo library for image drawing.",5.0,10.0,2.9,CWE-119 Improper Restriction of Operations within the Bounds of a Memory Buffer,https://bugzilla.mozilla.org/show_bug.cgi?id=1095925
CVE-2015-0834,"The WebRTC subsystem in Mozilla Firefox before 36.0 recognizes turns: and stuns: URIs but accesses the TURN or STUN server without using TLS, which makes it easier for man-in-the-middle attackers to discover credentials by spoofing a server and completing a brute-force attack within a short time window.",4.3,8.6,2.9,CWE-200 Exposure of Sensitive Information to an Unauthorized Actor,https://bugzilla.mozilla.org/show_bug.cgi?id=1098314
CVE-2015-0823,"Multiple use-after-free vulnerabilities in OpenType Sanitiser, as used in Mozilla Firefox before 36.0, might allow remote attackers to trigger problematic Developer Console information or possibly have unspecified other impact by leveraging incorrect macro expansion, related to the ots::ots_gasp_parse function.",7.5,10.0,6.4,N/A,https://bugzilla.mozilla.org/show_bug.cgi?id=1098497
CVE-2014-8640,"The mozilla::dom::AudioParamTimeline::AudioNodeInputValue function in the Web Audio API implementation in Mozilla Firefox before 35.0 and SeaMonkey before 2.32 does not properly restrict timeline operations, which allows remote attackers to cause a denial of service (uninitialized-memory read and application crash) via crafted API calls.",5.0,10.0,2.9,CWE-362 Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),https://bugzilla.mozilla.org/show_bug.cgi?id=1100409
CVE-2015-4502,"js/src/proxy/Proxy.cpp in Mozilla Firefox before 41.0 mishandles certain receiver arguments, which allows remote attackers to bypass intended window access restrictions via a crafted web site.",4.3,8.6,2.9,CWE-254,https://bugzilla.mozilla.org/show_bug.cgi?id=1105045
CVE-2014-8641,"Use-after-free vulnerability in the WebRTC implementation in Mozilla Firefox before 35.0, Firefox ESR 31.x before 31.4, and SeaMonkey before 2.32 allows remote attackers to execute arbitrary code via crafted track data.",7.5,10.0,6.4,N/A,https://bugzilla.mozilla.org/show_bug.cgi?id=1108455
CVE-2015-0808,"The webrtc::VPMContentAnalysis::Release function in the WebRTC implementation in Mozilla Firefox before 37.0 uses incompatible approaches to the deallocation of memory for simple-type arrays, which might allow remote attackers to cause a denial of service (memory corruption) via unspecified vectors.",5.0,10.0,2.9,CWE-17,https://bugzilla.mozilla.org/show_bug.cgi?id=1109552
CVE-2015-0800,"The PRNG implementation in the DNS resolver in Mozilla Firefox (aka Fennec) before 37.0 on Android does not properly generate random numbers for query ID values and UDP source ports, which makes it easier for remote attackers to spoof DNS responses by guessing these numbers, a related issue to CVE-2012-2808.",5.0,10.0,2.9,CWE-200 Exposure of Sensitive Information to an Unauthorized Actor,https://bugzilla.mozilla.org/show_bug.cgi?id=1110212
CVE-2015-0830,"The WebGL implementation in Mozilla Firefox before 36.0 does not properly allocate memory for copying an unspecified string to a shader's compilation log, which allows remote attackers to cause a denial of service (application crash) via crafted WebGL content.",5.0,10.0,2.9,CWE-399,https://bugzilla.mozilla.org/show_bug.cgi?id=1110488
CVE-2015-0822,"The Form Autocompletion feature in Mozilla Firefox before 36.0, Firefox ESR 31.x before 31.5, and Thunderbird before 31.5 allows remote attackers to read arbitrary files via crafted JavaScript code.",4.3,8.6,2.9,CWE-200 Exposure of Sensitive Information to an Unauthorized Actor,https://bugzilla.mozilla.org/show_bug.cgi?id=1110557
CVE-2015-0807,"The navigator.sendBeacon implementation in Mozilla Firefox before 37.0, Firefox ESR 31.x before 31.6, and Thunderbird before 31.6 processes HTTP 30x status codes for redirects after a preflight request has occurred, which allows remote attackers to bypass intended CORS access-control checks and conduct cross-site request forgery (CSRF) attacks via a crafted web site, a similar issue to CVE-2014-8638.",6.8,8.6,6.4,CWE-352 Cross-Site Request Forgery (CSRF),https://bugzilla.mozilla.org/show_bug.cgi?id=1111834
CVE-2015-2711,"Mozilla Firefox before 38.0 does not recognize a referrer policy delivered by a referrer META element in cases of context-menu navigation and middle-click navigation, which allows remote attackers to obtain sensitive information by reading web-server Referer logs that contain private data in a URL, as demonstrated by a private path component.",4.3,8.6,2.9,CWE-200 Exposure of Sensitive Information to an Unauthorized Actor,https://bugzilla.mozilla.org/show_bug.cgi?id=1113431
CVE-2016-1941,"The file-download dialog in Mozilla Firefox before 44.0 on OS X enables a certain button too quickly, which allows remote attackers to conduct clickjacking attacks via a crafted web site that triggers a single-click action in a situation where a double-click action was intended.","4.3
6.1","8.6
2.8","2.9
2.7",CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),https://bugzilla.mozilla.org/show_bug.cgi?id=1116385
CVE-2014-8643,"Mozilla Firefox before 35.0 on Windows allows remote attackers to bypass the Gecko Media Plugin (GMP) sandbox protection mechanism by leveraging access to the GMP process, as demonstrated by the OpenH264 plugin's process.",7.1,8.6,6.9,CWE-264,https://bugzilla.mozilla.org/show_bug.cgi?id=1117140
CVE-2015-0827,"Heap-based buffer overflow in the mozilla::gfx::CopyRect function in Mozilla Firefox before 36.0, Firefox ESR 31.x before 31.5, and Thunderbird before 31.5 allows remote attackers to obtain sensitive information from uninitialized process memory via a malformed SVG graphic.",4.3,8.6,2.9,CWE-119 Improper Restriction of Operations within the Bounds of a Memory Buffer,https://bugzilla.mozilla.org/show_bug.cgi?id=1117304
CVE-2015-2729,"The AudioParamTimeline::AudioNodeInputValue function in the Web Audio implementation in Mozilla Firefox before 39.0 and Firefox ESR 38.x before 38.1 does not properly calculate an oscillator rendering range, which allows remote attackers to obtain sensitive information from process memory or cause a denial of service (out-of-bounds read) via unspecified vectors.",5.0,10.0,2.9,CWE-119 Improper Restriction of Operations within the Bounds of a Memory Buffer,https://bugzilla.mozilla.org/show_bug.cgi?id=1122218
CVE-2015-0802,"Mozilla Firefox before 37.0 relies on docshell type information instead of page principal information for Window.webidl access control, which might allow remote attackers to execute arbitrary JavaScript code with chrome privileges via certain content navigation that leverages the reachability of a privileged window with an unintended persistence of access to restricted internal methods.",5.0,10.0,2.9,[email protected],https://bugzilla.mozilla.org/show_bug.cgi?id=1124898
CVE-2015-0820,"Mozilla Firefox before 36.0 does not properly restrict transitions of JavaScript objects from a non-extensible state to an extensible state, which allows remote attackers to bypass a Caja Compiler sandbox protection mechanism or a Secure EcmaScript sandbox protection mechanism via a crafted web site.",2.6,4.9,2.9,CWE-284 Improper Access Control,https://bugzilla.mozilla.org/show_bug.cgi?id=1125389
CVE-2015-2720,"The update implementation in Mozilla Firefox before 38.0 on Windows does not ensure that the pathname for updater.exe corresponds to the application directory, which might allow local users to gain privileges via a Trojan horse file.",4.4,3.4,6.4,CWE-17,https://bugzilla.mozilla.org/show_bug.cgi?id=1127481
CVE-2015-0812,"Mozilla Firefox before 37.0 does not require an HTTPS session for lightweight theme add-on installations, which allows man-in-the-middle attackers to bypass an intended user-confirmation requirement by deploying a crafted web site and conducting a DNS spoofing attack against a mozilla.org subdomain.",4.3,8.6,2.9,CWE-17,https://bugzilla.mozilla.org/show_bug.cgi?id=1128126
CVE-2015-0829,Buffer overflow in libstagefright in Mozilla Firefox before 36.0 allows remote attackers to execute arbitrary code via a crafted MP4 video that is improperly handled during playback.,6.8,8.6,6.4,CWE-119 Improper Restriction of Operations within the Bounds of a Memory Buffer,https://bugzilla.mozilla.org/show_bug.cgi?id=1128939
CVE-2015-0831,"Use-after-free vulnerability in the mozilla::dom::IndexedDB::IDBObjectStore::CreateIndex function in Mozilla Firefox before 36.0, Firefox ESR 31.x before 31.5, and Thunderbird before 31.5 allows remote attackers to execute arbitrary code or cause a denial of service (heap memory corruption) via crafted content that is improperly handled during IndexedDB index creation.",6.8,8.6,6.4,N/A,https://bugzilla.mozilla.org/show_bug.cgi?id=1130541
CVE-2015-4504,The lut_inverse_interp16 function in the QCMS library in Mozilla Firefox before 41.0 allows remote attackers to obtain sensitive information or cause a denial of service (buffer over-read and application crash) via crafted attributes in the ICC 4 profile of an image.,6.4,10.0,4.9,CWE-119 Improper Restriction of Operations within the Bounds of a Memory Buffer,https://bugzilla.mozilla.org/show_bug.cgi?id=1132467
CVE-2015-0811,The QCMS implementation in Mozilla Firefox before 37.0 allows remote attackers to obtain sensitive information from process heap memory or cause a denial of service (out-of-bounds read) via an image that is improperly handled during transformation.,6.4,10.0,4.9,CWE-119 Improper Restriction of Operations within the Bounds of a Memory Buffer,https://bugzilla.mozilla.org/show_bug.cgi?id=1132468
CVE-2015-0803,"The HTMLSourceElement::AfterSetAttr function in Mozilla Firefox before 37.0 does not properly constrain the original data type of a casted value during the setting of a SOURCE element's attributes, which allows remote attackers to execute arbitrary code or cause a denial of service (use-after-free) via a crafted HTML document.",7.5,10.0,6.4,CWE-264,https://bugzilla.mozilla.org/show_bug.cgi?id=1134561
CVE-2015-2742,"Mozilla Firefox before 39.0 on OS X includes native key press information during the logging of crashes, which allows remote attackers to obtain sensitive information by leveraging access to a crash-reporting data stream.",4.3,8.6,2.9,CWE-200 Exposure of Sensitive Information to an Unauthorized Actor,https://bugzilla.mozilla.org/show_bug.cgi?id=1138669
CVE-2015-2716,"Buffer overflow in the XML parser in Mozilla Firefox before 38.0, Firefox ESR 31.x before 31.7, and Thunderbird before 31.7 allows remote attackers to execute arbitrary code by providing a large amount of compressed XML data, a related issue to CVE-2015-1283.",7.5,10.0,6.4,CWE-119 Improper Restriction of Operations within the Bounds of a Memory Buffer,https://bugzilla.mozilla.org/show_bug.cgi?id=1140537
CVE-2015-7196,"Mozilla Firefox before 42.0 and Firefox ESR 38.x before 38.4, when a Java plugin is enabled, allow remote attackers to cause a denial of service (incorrect garbage collection and application crash) or possibly execute arbitrary code via a crafted Java applet that deallocates an in-use JavaScript wrapper.",6.8,8.6,6.4,CWE-17,https://bugzilla.mozilla.org/show_bug.cgi?id=1140616
CVE-2015-2706,Race condition in the AsyncPaintWaitEvent::AsyncPaintWaitEvent function in Mozilla Firefox before 37.0.2 allows remote attackers to execute arbitrary code or cause a denial of service (use-after-free) via a crafted plugin that does not properly complete initialization.,6.8,8.6,6.4,CWE-362 Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),https://bugzilla.mozilla.org/show_bug.cgi?id=1141081
